conversation_id,turn_number,generated_response
393,6,Ehh I wonder. Sometimes it seems that certain celebrities like it and others don't. I am a private person so I really do not understand this type of thing.
393,7,"Same here. I don't know why you'd ever enjoy having your personal life and situations splashed on every tabloid. I can understand somewhat if you're a celeb. It comes with the job, but if her parents aren't famous except by her it seems terrible to publish their business"
393,8,"yeah, i never hear anything about this. All you see are celeb gossip and things of that nature"
393,9,Maybe I guess I just can't wrap my head around the why. They aren't famous themselves (I don't think) unless they're trying to create some fame
393,10,yeah me and you can both be journalists nowadays. dont get me wrong its still tough work but it seems easier than the old days when they had to go out and get the news and not get it from the information from another site. i also dont follow the news anymore its a shame what has happened to media
394,6,I agree and she was so young when they married i think it was probable theyd grow apart
394,7,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?
394,8,I wonder how Dakota and Elle Fanning are doing now. I don't remember if the article stated how old they were when their parents divorced.
394,9,"Yeah.  Thing is though, Lebron was a star at 13, and he's been faithfully married (as far as we know) to the same girl since like 20.  Can't say the same about Kobe."
394,10,I'm happy they waited for the children to be over 18 before the marriage broke up.
396,6,"Agreed, I'm sure he would be less likely to do that if he  had grown up in more stable conditions. It seems a lot of times the foster care system puts them in a situation that is just as bad or worse then where they wer ebefore"
396,7,"yes it needs help, but i think there is a lack of good foster parents"
396,8,"Oh that's so sad... My neighbors did foster care a lot, and they were a great family. but man some of the kids you could tell had been through some shit and they were so angry."
396,9,"unfortunately, i think stories like this are all too common with children who go through the foster system."
396,10,"Yeah that's a good point, too.  It must be some pretty dedicated and caring people who do this.  I wonder who funds the whole orphanage operation."
398,6,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?
398,7,"I only slightly cared about the article was my parents were divorced when I was around 8 or 9. Like you said though, they are much older than I was, so they should be able to cope better."
398,8,"Yes I think it is sad for the kids, too.  innocents.  they kinda made it out like it was just a bunch of kids, though.  accoring to another article it was 62% med aged 33 on average"
398,9,probably not. I'm not sure whatever happened to him. Do you think Brad was really abusive towards their children like the article mentioned?
398,10,"I thought the article was very thought provoking and in line with things I felt already, that empathy is severely lacking in society in general. People are too dismissive of those suffering and assume they made choices to put themselves in that situation."
402,6,That's true. Are you a fan of Billy BOb Thornton or Angelina Jolie?
402,7,"I just never understood why he'd leave her for Angelina, but what do I know lol I wonder if there's a chance Angelina and Billy Bob might reconcile now"
402,8,yes but maybe I'm just biased because I was very pro brad and jennifer lol
402,9,I agree and she was so young when they married i think it was probable theyd grow apart
402,10,probably not. I'm not sure whatever happened to him. Do you think Brad was really abusive towards their children like the article mentioned?
403,6,what did you think about this article
403,7,Yeah it was sad to read. I hope the families of the lost ones will be able to live a happy life in the future
403,8,"It's definitely really sad to read, considering everything they're all going through. What did you think?"
403,9,I found it kinda hard to connect to this article.  It's defiitely sad for the families involved.
403,10,I felt very disturbed while reading the article about the family situations.
404,6,What did you feel about the article?
404,7,Hello! What did you think about the article?
404,8,what did you think about this article
404,9,"Hello, what did you think about the article?"
404,10,"man, that was more than an article. Like several mashed together, but. It really makes you empathetic, don't you think?"
412,6,I can understand why the Rohingya are upset though. Despite being born in living their lives in Burma they are being denied any types of citizenship rights and are constantly the victims of violence.
412,7,Yep it said there are about 1 million Rohingya Muslims in Burma who are stateless
412,8,Seems like there is an increasing number of Muslim minorities being used as scapegoats and being forcefully relocated these days. I read that the Rohingya that fled to Bangladesh are no being forced back into Burma. The situation with the forced reeducation of Uyghers in China. Seems like there's a lot going on.
412,9,they're killing many people in Burma mostly Muslims
412,10,"I agree.  I think the UN is embarrassing and self-righteous and accomplishes nothing.  I also think Burma has a right to run their own country how they like.  As someone in the article said, this is an internal matter, not an international one.  I tend to agree."
413,6,"Myanmar has a fair bit of geopolitical importance,i guess there could be some fear of losing the government as an asset"
413,7,I was wondering how the UN might put pressure on the Burmese government to correct this. Sanctions perhaps? Or maybe an intervention force?
413,8,"That's probably part of it, although I don't know much about the Burmese economy.  But overpopulation is a big problem, too.  And corrupt governments."
413,9,Do you think there is a practical solution to the problems they are facing within Burma?
413,10,I can understand why the Rohingya are upset though. Despite being born in living their lives in Burma they are being denied any types of citizenship rights and are constantly the victims of violence.
416,6,"Yes, I thought the article showed quite a broad range of experiences.  People trying to survive the incident itself.  People finding out and dealing with dead loved ones.  People angry about it.  Officials trying to maintain safety and order going forward."
416,7,I thought it was very sad what happened to the victims. You
416,8,"After reading that article i think what makes me the saddest is hearing that the Doctors Without Borders facility was hit during the morter attack. Volunteers who just wanted to help people, terrible."
416,9,I think that even though the article was from 2016 it is still very relevant. I also thought it quite morbid that no accounts of rescue were mentioned. These people are drowning along well trafficked routes through the Mediterranean and no one can be bothered to help? At all?
416,10,"So terrible, and incredibly upsetting. I find it so hard to believe that anyone could knowingly target something like that or a hospital or something. It just seems wrong."
417,6,The article was very sad. What did you think abotu it?
417,7,"I found the article to be very sad, and anger-inducing. How about you?"
417,8,what did you think about the article? I thought the cop was wrong in this.
417,9,It was sad.   It seems all these articles are so very sad.
417,10,What did you feel about the article?
419,6,what did you think about the article? I thought the cop was wrong in this.
419,7,I think the whole trigger happy law enforcement situation in America is kinda messed up. What do you think?
419,8,The article was very sad. What did you think abotu it?
419,9,"Yes, I thought the article showed quite a broad range of experiences.  People trying to survive the incident itself.  People finding out and dealing with dead loved ones.  People angry about it.  Officials trying to maintain safety and order going forward."
419,10,I thought it was very sad what happened to the victims. You
421,6,i wonder what they did to him or if they did anything at all. It doesn't justify his actions they're his sons at the end of the day
421,7,"I really feel terrible about the described events of his childhood.  To be adopted by people who then abused him.  Just disgusting, infuriating, and completely nonsensical to me."
421,8,"that's exactly what I'm thinking, but they made it sound like the victim was an exemplary husband, father, etc., who was suddenly taken out"
421,9,"Yeah, it's really terrible that some of the women were impregnated by their abusers.  I don't know how the woman's relationship with the baby will develop after that."
421,10,I thought the comment by the father was awful/hilarious.  That it would have been easier for him to deal with it had she been killed.
422,6,"unfortunately, i think stories like this are all too common with children who go through the foster system."
422,7,this was so sad i never really thought of kids in foster care and how hard it was
422,8,What do you think about the article?
422,9,Agreed. Do you have any other thoughts on the article?
422,10,What did you feel about the article?
423,6,What did you feel about the article?
423,7,what did you think about the article?
423,8,How did this article make you feel?
