id,article_id,conversation_id,turn_id,speaker_id,text,person_id,person_id_1,person_id_2,Emotion,EmotionalPolarity,Empathy,SelfDisclosure
1,8,68,1,38,Hello how are you?,38,38,75,1.0,1.0,1.0,
2,8,68,2,75,Hello! Fine. How are you?,75,38,75,2.0,1.0,2.0,
3,8,68,3,38,I'm good thanks for asking!,38,38,75,2.0,1.0,2.0,
4,8,68,4,75,"That's good, so I guess we are supposed to discuss the article. I wonder, if my family or I were in a place where my very life was at risk, what would I do?",75,38,75,2.0,1.0,3.0,
5,8,68,5,38,That's a very scary thought to have honestly,38,38,75,3.0,2.0,4.0,
6,8,68,6,75,"Yes, I think it is something most people rather not imagine. But it is a reality. ",75,38,75,2.0,1.0,3.0,
7,8,68,7,38,becoming more and more of a realityeveryday,38,38,75,2.0,1.0,3.0,
8,8,68,8,75,"Yes, it is sad for those who have to make hard decision. Sad also to hear people be so unsympathetic.",75,38,75,3.0,2.0,4.0,
9,8,68,9,38,Yes and why is America taking so few refugees?,38,38,75,3.0,1.0,3.0,
10,8,68,10,75,"Not sure, I guess refugees are not top priority for anyone.",75,38,75,2.0,1.0,2.0,
11,8,68,11,38,"Maybe I was mis understanding the article, I thought it was talking about people fleeing, looking for a safe place to live..lol",38,38,75,2.0,1.0,1.0,
12,8,68,12,75,"Yes, that was the topic of the article.",75,38,75,1.0,1.0,1.0,
13,8,68,13,38,I think everyone deserves a safe place t live,38,38,75,2.0,0.0,3.0,
14,8,68,14,75,"Yes, very much. I agree.",75,38,75,2.0,0.0,4.0,
15,8,68,15,38,I'm not sure how I would handle being in that position,38,38,75,1.0,1.0,2.0,
16,8,68,16,75,"Me either, I would like to think I would do anything to help my family and survive.",75,38,75,2.0,0.0,4.0,
17,8,68,17,38,Of course! I would probably be trying to flee as well if I'm being honest,38,38,75,2.0,1.0,3.0,
18,8,68,18,75,That's brave! Hoping you would be welcomed in a foreign land. Scary thought!,75,38,75,4.0,0.0,4.0,
19,8,68,19,38,Very scary thoughts!,38,38,75,4.0,2.0,3.0,
20,8,68,20,75,Is your family from an immigrant background?,75,38,75,1.0,1.0,2.0,
21,8,68,21,38,"No, not at all thankfully. Yours?",38,38,75,2.0,0.0,3.0,
22,8,68,22,75,"No, I am Native American. I guess it is relative LOL",75,38,75,2.0,0.0,2.0,
23,8,68,23,38,"LOL, somewhat I guess. Where are you from?",38,38,75,2.0,1.0,2.0,
24,8,68,24,75,Arizona. And yourself?,75,38,75,1.0,1.0,1.0,
25,8,68,25,38,Kentucky. but I have been to Arizona and absolutely loved it!,38,38,75,3.0,0.0,3.0,
26,8,68,26,75,"Nice! Never been to Kentucky, what's the best place to visit?",75,38,75,3.0,1.0,2.0,
27,8,68,27,38,KFC of course! Nah only joking. I think Cumberland Falls is pretty awesome! Mammoth Cave is intriging!,38,38,75,3.0,0.0,1.0,
28,8,68,28,75,LOL!!! Sounds awesome :),75,38,75,4.0,0.0,2.0,
29,8,68,29,38,I acually want to move to Arizona or New Mexico,38,38,75,2.0,1.0,1.0,
30,8,68,30,75,"Really? Life is nice and cheaper than in other states, Tucson and Flagstaff are good areas. NM is awesome BTW, I love it.",75,38,75,3.0,0.0,2.0,
31,9,72,1,65,hello anyone there?,65,65,79,1.0,1.0,1.0,
32,9,72,2,79,hi,79,65,79,1.0,1.0,1.0,
33,9,72,3,65,did we read the same article? ,65,65,79,1.0,1.0,1.0,
34,9,72,4,79,Was yours about an explosion?,79,65,79,1.0,1.0,1.0,
